product_id,product_name,category,sub_category,author_name,publisher_name,unit_price,cost_price,supplier_id,stock_quantity,launch_date,format,language,page_count,reader_group,best_seller_score
P00001,Short Stories Masterclass,Fiction,Short Stories,Amin Ahmed,Green Books Ltd,454.53,320.3659540723687,S00483,453,2022-10-18 21:54:00,Hardcover,Bangla,277,Professional,0.984
P00002,Entrepreneurship Handbook,Business,Entrepreneurship,Naila Uddin,Prime Supply Co,518.21,334.91,S00143,244,2021-04-04 15:28:00,Paperback,Bangla,841,Kids,0.455
P00003,Databases Handbook Series,Programming,Databases,Jalal Islam,Bright Supply Co,1001.02,625.99,S00970,553,2020-09-06 21:29:00,Ebook,English,842,Elderly,0.314
P00004,English Grammar Masterclass Series,Academic,English Grammar,Mala Chowdhury,Eastern Trade Group,537.49,403.33,S00982,238,2021-12-25 03:47:00,Ebook,English,674,Young,0.991
P00005,Bank Jobs Guide Practice,Exam Prep,Bank Jobs,Mohiuddin Rahman,Delta Supply Co,930.27,715.75,S00214,482,2021-08-04 05:55:00,Ebook,English,675,Kids,0.503
P00006,Bangla Literature Essentials Edition,Academic,Bangla Literature,Mala Hossain,Bright Publishing House,1043.23,812.52,S00289,611,2022-10-09 10:47:00,,Bangla,712,Young,0.312
P00007,Mystery Handbook,Fiction,Mystery,Mohiuddin Rahman,Ocean Enterprises,864.51,693.07,S00242,76,2021-12-02 06:35:00,Hardcover,Bangla,273,Young,0.233
P00008,Bangla Literature Simplified Series,Academic,Bangla Literature,Sabbir Uddin,Royal Books Ltd,525.370540725782,342.84,S00794,23,2025-10-21 22:13:00,Hardcover,English,823,Kids,0.249
P00009,Bangla Literature Essentials Edition,Academic,Bangla Literature,Anika Uddin,Eastern Enterprises,444.64,272.26,S00946,187,2023-12-28 12:23:00,Paperback,Bangla,164,Professional,0.389
P00010,Prayer Guides Simplified,Religious,Prayer Guides,Rashid Sarker,Global Publishing House,826.53,557.88,S00035,523,2021-09-07 10:05:00,Ebook,English,42,Young,0.264
P00011,Mystery Simplified,Fiction,Mystery,Anika Chowdhury,Global Supply Co,712.23,525.19,S00627,569,2021-08-08 17:03:00,Ebook,Bangla,53,Professional,0.236
P00012,Accounting Handbook,Business,Accounting,Jalal Khan,Prime Distributors,1241.11,918.59,S00925,59,2021-02-19 20:40:00,Ebook,Bangla,244,Young,0.636
P00013,Coloring Books Complete,Children,Coloring Books,Mohiuddin Islam,Eastern Logistics,282.01,195.42,S00801,377,2024-02-25 17:54:00,Hardcover,Bangla,653,Young,0.568
P00014,Management Simplified,Business,Management,Mala Chowdhury,National Supply Co,824.71,490.04,S00063,187,2026-05-17 04:51:00,Paperback,Bangla,147,Young,0.39
P00015,Romance Workbook,Fiction,Romance,Rumana Rahman,Metro Trade Group,341.4,233.5495356512662,S00310,245,2026-01-03 05:40:00,Hardcover,English,341,Professional,0.569
P00016,Finance Simplified,Business,Finance,Jalal Islam,Green Enterprises,1337.86,911.09,S00908,83,2021-07-13 01:51:00,Hardcover,English,831,Kids,0.414
P00017,Mystery Simplified,Fiction,Mystery,Mala Ahmed,Global Supply Co,785.56,459.45,S00483,243,2024-07-21 01:15:00,Ebook,Bangla,636,Young,0.418
P00018,Classic Guide,Fiction,Classic,Rashid Ahmed,Eastern Publishing House,458.58,326.37,S00040,294,2024-02-26 18:49:00,Hardcover,English,47,Young,0.48
P00019,Mathematics Complete Series,Academic,Mathematics,Sabbir Khan,Prime Enterprises,663.27,428.23,S00907,272,2020-11-21 06:24:00,Hardcover,Bangla,90,Young,0.266
P00020,Bank Jobs Essentials Series,Exam Prep,Bank Jobs,Rashid Islam,National Books Ltd,496.77,336.94,S00633,631,2025-01-06 22:43:00,Hardcover,Bangla,429,Elderly,0.796
P00021,Activity Books Masterclass,Children,Activity Books,Sultana Chowdhury,Metro Distributors,208.86,151.85,S00114,120,2021-05-30 16:54:00,Paperback,English,363,Professional,0.654
P00022,Accounting Workbook,Business,Accounting,Sabbir Rahman,Metro Distributors,324.26,221.5459800569574,S00095,249,2023-06-27 20:22:00,Hardcover,Bangla,526,Kids,0.675
P00023,Physics Workbook Series,Academic,Physics,Kamal Ahmed,National Publishing House,282.48,181.88,S00237,157,2021-11-24 08:15:00,Ebook,Bangla,702,Elderly,0.632
P00024,Quran Studies Masterclass,Religious,Quran Studies,Anika Rahman,Prime Logistics,783.2922839086817,487.28,S00153,213,2019-07-07 22:55:00,Hardcover,Bangla,442,Elderly,0.961
P00025,Romance Handbook,Fiction,Romance,Sabbir Rahman,Bright Books Ltd,278.75,170.82,S00259,220,2024-10-28 01:25:00,Hardcover,English,235,Professional,0.566
P00026,Communication Masterclass,Self Help,Communication,Anika Uddin,Delta Supply Co,539.5,311.56,S00849,147,2023-01-12 11:42:00,Ebook,Bangla,788,Professional,0.282
P00027,Web Development Masterclass Pro,Programming,Web Development,Shahana Rahman,Royal Books Ltd,1185.38,657.19,S00562,185,2020-12-25 08:43:00,Hardcover,English,592,Professional,0.282
P00028,Habit Building Essentials,Self Help,Habit Building,Mala Rahman,Metro Logistics,507.6,370.65,S00926,402,2021-12-29 12:13:00,Hardcover,Bangla,762,Professional,0.664
P00029,Management Handbook,Business,Management,Shahana Sarker,Delta Books Ltd,1033.28,622.94,S00031,152,2024-01-22 05:58:00,Paperback,English,108,Professional,0.28
P00030,Data Science Handbook Pro,Programming,Data Science,Anika Hossain,Royal Books Ltd,715.6,406.82,S00442,142,2020-01-08 20:31:00,Hardcover,Bangla,793,Kids,0.874
P00031,Mindfulness Complete,Self Help,Mindfulness,Touhid Khan,National Books Ltd,445.56,344.78,S00332,381,2021-11-14 22:03:00,Hardcover,Bangla,277,Professional,0.825
P00032,Accounting Guide,Business,Accounting,Touhid Hossain,Metro Trade Group,1326.91,879.33,S00789,195,2025-04-29 09:45:00,Paperback,Bangla,449,Kids,0.391
P00033,Productivity Handbook,Self Help,Productivity,Sultana Islam,Global Books Ltd,291.37,210.36,S00460,322,2024-01-29 19:09:00,Ebook,Bangla,682,Professional,0.899
P00034,Coloring Books Handbook,Children,Coloring Books,Sultana Rahman,Bright Distributors,215.45,170.58,S00945,395,2021-06-11 22:12:00,Paperback,Bangla,600,Young,0.713
P00035,Habit Building Handbook,Self Help,Habit Building,Rashid Rahman,National Books Ltd,834.86,619.83,S00651,33,2023-12-13 04:46:00,Ebook,Bangla,646,Young,0.521
P00036,Writers Masterclass,Biography,Writers,Shahana Hossain,Metro Books Ltd,989.48,605.54,S00775,257,2024-04-22 22:05:00,Paperback,Bangla,822,Young,0.45
P00037,Classic Essentials,Fiction,Classic,Amin Hossain,Bright Logistics,302.93,229.35641919893263,S00122,205,2021-03-07 15:30:00,Paperback,Bangla,549,Elderly,0.973
P00038,Productivity Essentials,Self Help,Productivity,Rashid Islam,Global Trade Group,462.86,263.01,S00817,465,2023-12-16 09:29:00,Paperback,English,225,Professional,0.766
P00039,Prayer Guides Handbook,Religious,Prayer Guides,Touhid Sarker,Prime Enterprises,641.78,374.71,S00309,143,2024-03-31 23:44:00,Paperback,Bangla,583,Professional,0.329
P00040,Quran Studies Simplified,Religious,Quran Studies,Mala Islam,Eastern Logistics,631.08,385.84,S00709,347,2022-01-22 02:41:00,Ebook,Bangla,630,Professional,0.205
P00041,Algorithms Masterclass Pro,Programming,Algorithms,Sultana Uddin,Bright Supply Co,1020.52,695.6,S00407,403,2021-12-12 19:59:00,Hardcover,Bangla,40,Professional,0.609
P00042,Machine Learning Complete Edition,Programming,Machine Learning,Ferdous Sarker,Metro Distributors,568.33,347.06,S00345,649,2026-05-31 11:56:00,Paperback,Bangla,374,Elderly,0.25
P00043,Biology Essentials Series,Academic,Biology,Sultana Sarker,Global Supply Co,544.93,362.99,S00521,54,2020-12-04 03:15:00,Paperback,Bangla,160,Kids,0.318
P00044,Romance Workbook,Fiction,Romance,Rumana Islam,Eastern Distributors,334.72,244.17,S00505,230,2025-10-06 16:56:00,Ebook,,119,Young,0.951
P00045,Databases Workbook Practice,Programming,Databases,Touhid Islam,Delta Publishing House,1094.04,765.02,S00006,220,2023-05-14 13:21:00,Ebook,English,460,Young,0.35
P00046,Bank Jobs Essentials Practice,Exam Prep,Bank Jobs,Ferdous Uddin,Royal Books Ltd,564.94,376.81,S00300,131,2023-04-01 17:03:00,Ebook,Bangla,382,Young,0.769
P00047,English Grammar Essentials Pro,Academic,English Grammar,Amin Khan,Eastern Logistics,1006.26,773.29,S00994,243,2020-05-02 02:45:00,Ebook,English,89,Professional,0.435
P00048,Web Development Workbook Pro,Programming,Web Development,Rumana Rahman,Green Distributors,384.94,231.36,S00669,511,2021-06-23 01:06:00,Ebook,Bangla,781,Young,0.688
P00049,Teacher Recruitment Guide Edition,Exam Prep,Teacher Recruitment,Naila Rahman,Royal Books Ltd,748.62,528.36,S00451,57,2023-12-15 10:58:00,Ebook,Bangla,326,Young,0.434
P00050,Bank Jobs Masterclass Pro,Exam Prep,Bank Jobs,Mohiuddin Sarker,Green Supply Co,881.68,551.54,S00352,625,2024-08-24 11:39:00,Paperback,Bangla,748,Young,0.853
P00051,Python Complete Pro,Programming,Python,Naila Uddin,Royal Publishing House,266.36,183.2,S00345,591,2019-08-14 09:29:00,Paperback,Bangla,620,Professional,0.238
P00052,Adventure Workbook,Fiction,Adventure,Shahana Sarker,Royal Publishing House,577.28,393.44,S00278,171,2024-01-03 17:24:00,Hardcover,Bangla,331,Professional,0.645
P00053,Prayer Guides Complete,Religious,Prayer Guides,Jalal Khan,Ocean Logistics,254.7,169.57,S00172,272,2025-08-18 06:11:00,Ebook,Bangla,685,Young,0.56
P00054,English Grammar Handbook Series,Academic,English Grammar,Rumana Ahmed,Royal Books Ltd,726.04,430.17,S00235,116,2020-09-01 08:48:00,Ebook,English,352,Young,0.872
P00055,English Grammar Workbook Practice,Academic,English Grammar,Rashid Chowdhury,Delta Books Ltd,463.58,316.38,S00956,387,2019-10-28 05:55:00,Paperback,English,761,Professional,0.939
P00056,Chemistry Guide Edition,Academic,Chemistry,Sultana Khan,Royal Supply Co,572.3306640716327,232.87,S00893,298,2020-12-25 05:11:00,Ebook,Bangla,393,Professional,0.527
P00057,Short Stories Workbook,Fiction,Short Stories,Jalal Islam,Global Trade Group,469.59,365.61,S00096,28,2025-11-11 03:37:00,Paperback,Bangla,290,Young,0.438
P00058,Rhymes Guide,Children,Rhymes,Mala Rahman,Delta Enterprises,125.77,94.26,S00962,286,2019-02-15 00:53:00,Hardcover,Bangla,90,Young,0.746
P00059,Teacher Recruitment Handbook Series,Exam Prep,Teacher Recruitment,Shahana Khan,Royal Books Ltd,475.29,331.33,S00378,619,2020-01-31 07:05:00,,Bangla,253,Young,0.455
P00060,Machine Learning Complete Practice,Programming,Machine Learning,Amin Hossain,Eastern Publishing House,531.5,314.83,S00639,18,2019-04-05 03:55:00,Ebook,English,89,Young,0.937
