sales_id,supplier_id,customer_id,product_id,store_id,sales_date,quantity,unit_price,discount,total_amount,payment_method,sales_channel,reader_group,category
SLS000001,S00556,C00980,P00204,ST00388,2025-05-30,3,297.77,0.14,768.25,Nagad,Online,Young,Biography
SLS000002,S00179,C00104,P00109,ST00166,2025-05-05,1,397.12,0.11,353.44,Card,,Young,Programming
SLS000003,S00608,C00073,P00238,ST00634,2024-08-27,1,659.86,0.08,607.07,Nagad,Online,Professional,Fiction
SLS000004,S00989,C00530,P00503,ST00285,2025-02-10,3,399.02,0.12,1053.41,Nagad,Online,Young,Business
SLS000005,S00794,C00612,P00243,ST00634,2025-05-14,3,1098.68,0.16,2768.67,Card,Online,Young,Academic
SLS000006,S00854,C00636,P00673,ST00577,2024-01-23,1,487.75,0.04,468.24,Card,Online,Professional,Religious
SLS000007,S00042,C00092,P00963,ST00654,2024-12-16,1,696.8,0.07,648.02,Bkash,In-Store,Young,Programming
SLS000008,S00352,C00848,P00050,ST00994,2024-09-05,3,881.68,0.09,2406.99,Rocket,App,Young,Exam Prep
SLS000009,S00913,C00484,P00137,ST00264,2025-08-17,2,489.05,0.09,890.07,Cash,Online,Professional,Religious
SLS000010,S00701,C00365,P00244,ST00975,2024-12-13,3,521.62,0.13,1361.43,Card,Online,Kids,Programming
SLS000011,S00136,C00498,P00809,ST00758,2024-05-01,1,305.52,0.07,284.13,Bkash,Online,Professional,Exam Prep
SLS000012,S00049,C00039,P00267,ST00855,2025-05-10,1,503.94,0.04,483.78,Card,In-Store,Young,Religious
SLS000013,S00543,C00213,P00196,ST00797,2025-02-16,1,190.96,0.04,183.32,Card,Online,Professional,Children
SLS000014,S00090,C00999,P00159,ST00024,2025-08-11,1,1041.66,0.04,999.99,Bkash,In-Store,Young,Exam Prep
SLS000015,S00725,C00548,P00156,ST00488,2025-10-25,2,900.27,0.11,1602.48,Card,Online,Professional,Fiction
SLS000016,S00485,C00078,P00723,ST00099,2026-05-31,3,484.91,0.07,1352.9,Bkash,In-Store,Young,Religious
SLS000017,S00544,C00290,P00713,ST00664,2025-07-05,1,529.82,0.05,503.33,Nagad,In-Store,Young,Programming
SLS000018,S00838,C00181,P00311,ST00054,2025-03-29,2,1090.79,0.1,1963.42,Rocket,Online,Young,Programming
SLS000019,S00752,C00929,P00449,ST00033,2024-09-07,2,759.89,0.05,1443.79,Bkash,App,Young,Business
SLS000020,S00670,C00810,P00630,ST00901,2025-08-23,2,285.43,0.05,542.32,Card,In-Store,Professional,Academic
SLS000021,S00300,C00542,P00973,ST00910,2025-01-03,2,873.42,0.09,1589.62,Card,Online,Professional,Exam Prep
SLS000022,S00196,C00952,P00747,ST00612,2026-05-07,2,564.6,0.06,1061.45,Card,In-Store,Young,Religious
