store_id,store_name,city,region,store_type,opening_date,manager_name,floor_area,monthly_rent,employee_count,store_rating
ST00001,Readers Point Branch - Manikganj,Madaripur,Dhaka,Flagship,2025-12-19 23:07:00,Shaila Ahmed,2677.74,64043.41,20,4.92
ST00002,Rokomari Branch - Rajbari,Tangail,Dhaka,Mini,2017-08-01 00:53:00,Mahin Nahar,1206.76,86635.24,38,4.52
ST00003,Bookhub Branch - Chittagong,Munshiganj,Dhaka,Standard,2021-07-19 12:44:00,Tanjim Bhuiyan,3820.77,224329.55,9,3.57
ST00004,Rokomari Branch - Brahmanbaria,Dhaka,Dhaka,Standard,2017-12-11 05:09:00,Raisa Uddin,3326.62,110611.43,47,3.39
ST00005,Novel Nest Center - Dhaka,Gazipur,Dhaka,Mini,2021-06-08 10:49:00,Sifat Amin,5898.3,85921.55,4,4.1
ST00006,Bookhub Center - Comilla,Madaripur,Dhaka,Flagship,2024-07-09 04:41:00,Muntasir Karim,4591.75,189177.48,42,4.97
ST00007,Readers Point Store - Lakshmipur,Bandarban,Chattogram,Standard,2022-04-23 21:30:00,Sifat Ahmed,5922.59,23927.69,14,3.44
ST00008,Book Valley Center - Cox'S Bazar,Khagrachari,Chattogram,Standard,2021-11-22 12:33:00,Rafi Bhuiyan,1443.57,143971.41,28,4.89
ST00009,Bookhub Center - Noakhali,Narsingdi,Dhaka,Mini,2018-01-26 22:17:00,Nafis Nahar,4664.93,120794.65,6,3.53
ST00010,Bookhub Branch - Narayanganj,Bandarban,Chattogram,Flagship,2025-07-11 02:49:00,Mim Sarker,3489.17,161841.68,33,4.35
ST00011,Pages Cafe Store - Rajbari,Dhaka,Dhaka,Mall Outlet,2020-05-18 12:54:00,Ayesha Mollik,4390.05,186808.42,29,3.64
ST00012,Book Valley Store - Cox'S Bazar,Noakhali,Chattogram,Mall Outlet,2021-11-03 20:51:00,Farhan Roy,3018.29,91372.27,40,2.99
ST00013,Book Valley Store - Chittagong,Faridpur,Dhaka,Online Hub,2025-01-28 20:09:00,Mahin Hossain,1589.39,164558.04,22,4.86
ST00014,Bookhub Center - Munshiganj,Gazipur,Dhaka,Standard,2022-08-28 22:41:00,Muntasir Mollik,656.13,138217.25,2,3.16
ST00015,Pages Cafe Center - Munshiganj,Dhaka,Dhaka,Mini,2023-08-13 01:18:00,Rafi Sheikh,5094.41,46482.44,35,4.88
ST00016,Rokomari Store - Bandarban,Dhaka,Dhaka,Flagship,2018-08-30 05:08:00,Arif Islam,4962.93,222205.66,42,3.03
ST00017,Book Valley Store - Chandpur, Cumilla ,,Online Hub,2021-02-20 19:39:00,Shaila Amin,1310.22,192328.69,40,3.39
ST00018,Literary World Store - Munshiganj,Dhaka,Dhaka,Standard,2021-11-12 08:22:00,Fahim Chowdhury,4013.01,231588.72,17,4.83
ST00019,Story House Center - Kishoreganj,Dhaka,Dhaka,Flagship,2018-08-01 10:59:00,Karim Ahmed,4531.31,184295.08,43,4.25
ST00020,Bookhub Store - Lakshmipur,Dhaka,Dhaka,Standard,2020-06-20 02:30:00,Tanvir Rahman,3522.7,72529.54,33,3.22
ST00021,Novel Nest Branch - Lakshmipur,Rangamati,Chattogram,Online Hub,2024-06-25 04:19:00,Tanjim Mollik,2176.48,116173.66,45,4.1
ST00022,Story House Store - Shariatpur,Chittagong,Chattogram,Online Hub,2025-05-19 16:43:00,Farhan Khan,5333.3,105914.08,8,3.2
ST00023,Literary World Outlet - Dhaka,Lakshmipur,Chattogram,Standard,2024-05-29 13:09:00,Ayesha Khan,3997.67,23418.15,20,4.72
ST00024,Literary World Branch - Kishoreganj,Feni,Chattogram,Standard,2025-05-27 20:45:00,Tanjim Nahar,4433.22,52860.2560817668,3,2.91
ST00025,Rokomari Outlet - Faridpur,Khagrachari,Chattogram,Mini,2025-12-26 01:51:00,Karim Das,4051.84,96208.82,43,3.97
ST00026,Story House Store - Feni,Manikganj,Dhaka,Online Hub,2018-10-15 06:23:00,Shaila Khan,4439.22,15922.09,2,2.94
ST00027,Pages Cafe Branch - Tangail,Dhaka,Dhaka,Mini,2024-09-12 04:45:00,Karim Chowdhury,1212.38,214073.97,4,4.33
ST00028,Book Valley Branch - Khagrachari,Faridpur,Dhaka,Standard,2022-07-31 18:00:00,Sadia Amin,5566.53,48810.49,11,4.86
ST00029,Readers Point Store - Faridpur,Dhaka,Dhaka,Mini,2024-09-23 07:31:00,Tasnima Bhuiyan,2000.54,132723.76,20,4.63
ST00030,Readers Point Outlet - Faridpur,Brahmanbaria,Chattogram,Online Hub,2022-09-29 01:05:00,Sami Amin,5084.69,199399.29,3,3.62
ST00031,Book Valley Store - Tangail,Dhaka,Dhaka,Flagship,2018-02-15 13:55:00,Nafis Islam,5402.95,157053.12,38,3.32
