store_id,store_name,city,region,store_type,opening_date,manager_name,floor_area,monthly_rent,employee_count,store_rating
ST00001,Readers Point Branch - Manikganj,Madaripur,Dhaka,Flagship,12/19/2025 23:07,Shaila Ahmed,2677.74,64043.41,20,4.92
ST00002,Rokomari Branch - Rajbari,Tangail,Dhaka,Mini,8/1/2017 0:53,Mahin Nahar,1206.76,86635.24,38,4.52
ST00003,BookHub Branch - Chittagong,Munshiganj,Dhaka,Standard,7/19/2021 12:44,Tanjim Bhuiyan,3820.77,224329.55,9,3.57
ST00004,Rokomari Branch - Brahmanbaria, DHAKA ,Dhaka,Standard,12/11/2017 5:09,Raisa Uddin,3326.62,110611.43,47,3.39
ST00005,Novel Nest Center - Dhaka,Gazipur,Dhaka,Mini,6/8/2021 10:49,Sifat Amin,5898.3,85921.55,4,4.1
ST00006,BookHub Center - Comilla,Madaripur,Dhaka,Flagship,7/9/2024 4:41,Muntasir Karim,4591.75,189177.48,42,4.97
ST00007,Readers Point Store - Lakshmipur,Bandarban,Chattogram,Standard,4/23/2022 21:30,Sifat Ahmed,5922.59,23927.69,14,3.44
ST00008,Book Valley Center - Cox's Bazar,Khagrachari,Chattogram,Standard,11/22/2021 12:33,Rafi Bhuiyan,1443.57,143971.41,28,4.89
ST00009,BookHub Center - Noakhali,Narsingdi,Dhaka,Mini,1/26/2018 22:17,Nafis Nahar,4664.93,120794.65,6,3.53
ST00010,BookHub Branch - Narayanganj,Bandarban,Chattogram,Flagship,7/11/2025 2:49,Mim Sarker,3489.17,161841.68,,4.35
ST00011,Pages Cafe Store - Rajbari, DHAKA ,Dhaka,Mall Outlet,5/18/2020 12:54,Ayesha Mollik,4390.05,186808.42,29,3.64
ST00012,Book Valley Store - Cox's Bazar,Noakhali,Chattogram,Mall Outlet,11/3/2021 20:51,Farhan Roy,3018.29,91372.27,40,2.99
ST00013,Book Valley Store - Chittagong,Faridpur,Dhaka,Online Hub,1/28/2025 20:09,Mahin Hossain,1589.39,164558.04,22,4.86
ST00014,BookHub Center - Munshiganj,Gazipur,Dhaka,Standard,8/28/2022 22:41,Muntasir Mollik,656.13,138217.25,2,3.16
ST00015,Pages Cafe Center - Munshiganj, DHAKA ,Dhaka,Mini,8/13/2023 1:18,Rafi Sheikh,5094.41,46482.44,35,4.88
ST00016,Rokomari Store - Bandarban, DHAKA ,Dhaka,Flagship,8/30/2018 5:08,Arif Islam,4962.93,222205.66,42,3.03
ST00017,Book Valley Store - Chandpur, Cumilla ,Chattogram,Online Hub,2/20/2021 19:39,Shaila Amin,1310.22,192328.69,40,3.39
ST00018,Literary World Store - Munshiganj, DHAKA ,Dhaka,Standard,11/12/2021 8:22,Fahim Chowdhury,4013.01,231588.72,17,4.83
ST00019,Story House Center - Kishoreganj, DHAKA ,Dhaka,Flagship,8/1/2018 10:59,Karim Ahmed,4531.31,184295.08,43,4.25
ST00020,BookHub Store - Lakshmipur, DHAKA ,Dhaka,Standard,6/20/2020 2:30,Tanvir Rahman,3522.7,72529.54,33,3.22
ST00021,Novel Nest Branch - Lakshmipur,Rangamati,Chattogram,Online Hub,6/25/2024 4:19,Tanjim Mollik,2176.48,116173.66,,4.1
ST00022,Story House Store - Shariatpur,chittagong,Chattogram,Online Hub,5/19/2025 16:43,Farhan Khan,5333.3,105914.08,8,3.2
ST00023,Literary World Outlet - Dhaka,Lakshmipur,Chattogram,Standard,5/29/2024 13:09,Ayesha Khan,3997.67,23418.15,20,4.72
ST00024,Literary World Branch - Kishoreganj,Feni,Chattogram,Standard,5/27/2025 20:45,Tanjim Nahar,4433.22,,3,2.91
ST00025,Rokomari Outlet - Faridpur,Khagrachari,Chattogram,Mini,12/26/2025 1:51,Karim Das,4051.84,96208.82,43,3.97
ST00026,Story House Store - Feni,Manikganj,Dhaka,Online Hub,10/15/2018 6:23,Shaila Khan,4439.22,15922.09,2,2.94
ST00027,Pages Cafe Branch - Tangail, DHAKA ,Dhaka,Mini,9/12/2024 4:45,Karim Chowdhury,1212.38,214073.97,4,4.33
ST00028,Book Valley Branch - Khagrachari,Faridpur,Dhaka,Standard,7/31/2022 18:00,Sadia Amin,5566.53,48810.49,11,4.86
ST00029,Readers Point Store - Faridpur, DHAKA ,Dhaka,Mini,9/23/2024 7:31,Tasnima Bhuiyan,2000.54,132723.76,20,4.63
ST00030,Readers Point Outlet - Faridpur,Brahmanbaria,Chattogram,Online Hub,9/29/2022 1:05,Sami Amin,5084.69,199399.29,3,3.62
ST00031,Book Valley Store - Tangail, DHAKA ,Dhaka,Flagship,2/15/2018 13:55,Nafis Islam,5402.95,157053.12,38,3.32
ST00032,Readers Point Center - Narayanganj, DHAKA ,Dhaka,Standard,1/23/2022 11:45,Mahin Roy,4046.85,54797.54,9,
ST00033,Pages Cafe Store - Brahmanbaria,Bandarban,Chattogram,Flagship,11/4/2023 15:54,Hasan Amin,3750.48,160279.61,48,4.72
ST00034,Pages Cafe Outlet - Khagrachari, DHAKA ,Dhaka,Standard,2/13/2018 13:08,Fahim Rahman,1010.67,193035.27,34,2.98
ST00035,Literary World Branch - Khagrachari, DHAKA ,Dhaka,Mini,7/16/2021 20:02,Rahim Hossain,2842.84,215869.66,6,4.18
ST00036,Book Valley Outlet - Rangamati, DHAKA ,Dhaka,Flagship,11/20/2022 2:15,Ayesha Miah,3825.21,89883.63,25,3.61
ST00037,Novel Nest Store - Narsingdi,Bandarban,Chattogram,Standard,3/6/2021 15:07,Rumana Sarker,858.47,22971.53,10,4.99
ST00038,Novel Nest Store - Khagrachari, DHAKA ,Dhaka,Flagship,3/10/2024 19:03,Mim Hossain,1024.19,157867.83,58,3.92
ST00039,Literary World Outlet - Madaripur, DHAKA ,Dhaka,Online Hub,2/22/2018 6:23,Mim Karim,5963.5,68055.6,36,4.01
ST00040,Novel Nest Center - Noakhali, DHAKA ,Dhaka,Online Hub,2/9/2020 9:54,Tanjim Roy,2260.51,198510.34,48,4.82
ST00041,Literary World Center - Faridpur,Chandpur,Chattogram,Standard,7/23/2025 22:56,Sifat Bhuiyan,2358.5,174772.2,23,4.93
ST00042,Readers Point Center - Gazipur, DHAKA ,Dhaka,Mini,8/18/2021 19:36,Jannat Khan,1808.56,196698.91,10,4.08
ST00043,BookHub Center - Madaripur, DHAKA ,Dhaka,Flagship,8/18/2018 17:42,Sifat Bhuiyan,4017.71,242369.83,15,4.55
ST00044,Book Valley Outlet - Narsingdi,Khagrachari,Chattogram,Online Hub,1/18/2018 6:05,Karim Uddin,3049.22,152368.64,26,4.2
ST00045,Rokomari Outlet - Bandarban,Feni,Chattogram,Mini,5/4/2022 3:14,Mahin Sheikh,4826.41,227513.68,46,3.74
ST00046,Literary World Outlet - Dhaka, DHAKA ,Dhaka,Flagship,5/17/2025 5:50,Tanvir Das,3269.97,165844.94,26,2.93
ST00047,Novel Nest Store - Lakshmipur, DHAKA ,Dhaka,Mall Outlet,6/11/2017 13:19,Mahin Amin,486.33,57709.92,55,4.38
ST00048,Pages Cafe Center - Gopalganj, DHAKA ,Dhaka,Flagship,12/26/2017 22:35,Hasan Sarker,3103.05,202837.42,23,4.34
ST00049,Novel Nest Branch - Shariatpur,Brahmanbaria,Chattogram,Mini,5/17/2020 23:42,Sami Uddin,709.05,178019.18,15,3.06
ST00050,Story House Center - Khagrachari, DHAKA ,Dhaka,Flagship,11/16/2018 17:27,Farhan Sheikh,5030,244815.85,30,3.31
ST00051,Readers Point Branch - Dhaka,Lakshmipur,Chattogram,Mini,2/2/2018 20:40,Jannat Bhuiyan,1036.49,72206.52,8,4.41
ST00052,BookHub Branch - Rajbari,COX'S BAZAR,Chattogram,Flagship,9/8/2019 19:12,Karim Nahar,1614.94,93284.5,40,3.13
ST00053,Rokomari Branch - Rajbari,Rajbari,Dhaka,Flagship,10/14/2022 5:55,Hasan Mollik,2975.81,208050.39,7,4.32
ST00054,Book Valley Center - Faridpur, DHAKA ,Dhaka,Standard,6/6/2024 13:07,Tanjim Sheikh,1493.03,29779.06,39,4.38
ST00055,Novel Nest Center - Narayanganj,Khagrachari,Chattogram,Mall Outlet,10/4/2019 19:11,Mim Chowdhury,3419.63,163801.94,24,3.58
ST00056,Readers Point Store - Shariatpur,Chandpur,Chattogram,Standard,4/22/2023 8:31,Sadia Hossain,2979.91,140836.87,22,3.37
ST00057,BookHub Outlet - Faridpur, Cumilla ,Chattogram,Mini,5/28/2024 20:31,Tanjim Uddin,5734.13,54673.14,37,3.62
ST00058,BookHub Outlet - Madaripur, DHAKA ,Dhaka,Standard,1/24/2017 1:11,Nafis Karim,894.89,53803.6,42,3.59
ST00059,Pages Cafe Branch - Brahmanbaria,Brahmanbaria,Chattogram,Online Hub,9/3/2024 9:36,Tamim Roy,3629.7,205396.44,55,4.14
ST00060,Rokomari Branch - Rangamati, Cumilla ,Chattogram,Standard,8/27/2018 4:23,Raisa Sarker,4434.24,18629.61,18,4.44
ST00061,Rokomari Outlet - Tangail,Noakhali,Chattogram,Standard,3/2/2023 2:07,Muntasir Talukder,1114.71,190507.74,49,4.7
ST00062,Pages Cafe Outlet - Gopalganj,Rajbari,Dhaka,Mall Outlet,10/1/2023 23:55,Shuvo Islam,3964.19,187176.8,50,2.87
ST00063,Readers Point Store - Brahmanbaria,Munshiganj,Dhaka,Standard,8/9/2024 15:23,Nusrat Hossain,5239.74,167674.79,59,4.4
ST00064,Novel Nest Center - Cox's Bazar,Madaripur,Dhaka,Standard,8/20/2020 0:00,Sakib Khan,4810.31,111236.65,57,3.49
ST00065,Readers Point Center - Bandarban,Brahmanbaria,Chattogram,Online Hub,12/8/2022 4:05,Nusrat Ahmed,5636.96,21655.36,47,4.65
ST00066,Story House Center - Narsingdi,Lakshmipur,Chattogram,Standard,3/28/2017 3:18,Nayeem Nahar,4435.28,203417.52,19,2.97
ST00067,Rokomari Store - Rajbari,Rajbari,Dhaka,Standard,1/8/2021 13:43,Sadia Sarker,2606.33,44541.19,42,4.01
ST00068,Story House Center - Dhaka, DHAKA ,Dhaka,Standard,9/3/2025 10:20,Mahin Hossain,5554.53,80985.06,47,4.01
ST00069,Book Valley Outlet - Madaripur, DHAKA ,Dhaka,Online Hub,6/5/2018 22:17,Mahin Talukder,1662,237493.99,18,3.52
ST00070,Pages Cafe Center - Gazipur,Shariatpur,Dhaka,Mall Outlet,5/12/2018 22:49,Adib Sarker,3668.73,85937.34,49,4.93
ST00071,Literary World Store - Gazipur,Feni,Chattogram,Mini,4/20/2023 14:57,Tanjim Miah,4687.68,74957.7,42,3.04
ST00072,Rokomari Branch - Comilla, DHAKA ,Dhaka,Mini,8/5/2021 9:26,Nusrat Sarker,5284.77,243742.08,30,3.1
ST00073,Story House Store - Dhaka,Kishoreganj,Dhaka,Standard,2/3/2021 22:48,Nafis Ahmed,5532.64,35194.07,51,4.22
ST00074,Readers Point Branch - Narayanganj,Noakhali,Chattogram,Flagship,3/27/2019 23:12,Mim Jahan,875.86,52762.24,7,3.93
ST00075,Pages Cafe Center - Lakshmipur,Munshiganj,Dhaka,Flagship,7/17/2018 19:06,Sadia Khan,4465.93,118004.62,,3.38
ST00076,Story House Branch - Madaripur, DHAKA ,Dhaka,Flagship,8/21/2023 7:46,Hasan Chowdhury,1542.98,200103.19,47,3.47
ST00077,Pages Cafe Outlet - Narayanganj,Gazipur,Dhaka,Flagship,3/21/2020 14:20,Mahin Hossain,4763.07,222824.35,4,3.15
ST00078,Literary World Center - Noakhali,Kishoreganj,Dhaka,Mini,12/28/2023 7:43,Nusrat Sarker,4323.86,192574.39,25,4.71
ST00079,Book Valley Outlet - Kishoreganj, DHAKA ,Dhaka,Flagship,12/27/2020 19:29,Tanjim Hossain,1415.57,244401.13,31,4.05
ST00080,Readers Point Store - Rangamati,Tangail,Dhaka,Flagship,7/29/2020 6:23,Nabil Sarker,5063.85,18958.84,14,3.34
ST00081,Readers Point Branch - Dhaka,Rajbari,Dhaka,Standard,1/27/2019 4:20,Farhan Chowdhury,2986.02,160584.04,53,3.67
ST00082,Rokomari Center - Brahmanbaria,Tangail,Dhaka,Standard,12/4/2022 15:58,Ayesha Islam,3445.59,42341.36,38,4.79
ST00083,Book Valley Branch - Rajbari,Shariatpur,Dhaka,Flagship,7/25/2019 8:20,Karim Mollik,5839.86,228935.24,17,4.75
ST00084,BookHub Outlet - Brahmanbaria, DHAKA ,Dhaka,Flagship,3/7/2025 5:10,Muntasir Sarker,4077.1,234797.19,27,2.95
ST00085,Pages Cafe Center - Manikganj, DHAKA ,Dhaka,Standard,9/3/2020 18:46,Mim Islam,3695.95,,8,4.24
ST00086,Literary World Outlet - Narsingdi, DHAKA ,Dhaka,Standard,5/1/2024 11:06,Raisa Talukder,493.87,209511.51,7,3.14
ST00087,BookHub Center - Rangamati, DHAKA ,Dhaka,Mini,3/25/2021 6:13,Rumana Khan,1515.6,163114.76,45,3.26
ST00088,Book Valley Center - Feni,Chandpur,Chattogram,Online Hub,9/25/2020 8:29,Rahim Amin,548.77,38614.86,59,4.7
ST00089,Rokomari Store - Madaripur, DHAKA ,Dhaka,Mini,1/29/2021 4:38,Jannat Islam,2266.55,156650.52,18,4.77
ST00090,Book Valley Store - Lakshmipur,Bandarban,Chattogram,Mini,12/21/2020 16:34,Hasan Roy,2329.25,244373.4,16,2.98
ST00091,Readers Point Store - Brahmanbaria, DHAKA ,Dhaka,Mall Outlet,4/23/2021 22:16,Sifat Sheikh,3369.85,87402.1,41,4.72
ST00092,BookHub Branch - Noakhali, DHAKA ,Dhaka,Standard,12/24/2024 6:46,Hasan Hossain,4262.7,15268.08,31,4.4
ST00093,Novel Nest Store - Narsingdi, DHAKA ,Dhaka,Mini,4/30/2023 7:32,Sami Chowdhury,1404.33,244546.04,10,4.51
ST00094,Pages Cafe Store - Dhaka,Munshiganj,Dhaka,Standard,4/23/2017 22:46,Arif Bhuiyan,3769.26,112286.1,40,4.54
ST00095,Novel Nest Center - Chandpur,Tangail,Dhaka,Standard,7/11/2017 7:45,Nayeem Karim,5535.07,116269.2,14,3.92
ST00096,Readers Point Store - Comilla, Cumilla ,Chattogram,Standard,3/16/2017 23:00,Farhan Miah,1436.04,182463.85,8,4.88
ST00097,Rokomari Center - Khagrachari, DHAKA ,Dhaka,Flagship,3/21/2023 8:40,Tanvir Bhuiyan,4090.89,157030.57,28,3.24
ST00098,Rokomari Center - Madaripur,Shariatpur,Dhaka,Mini,11/8/2018 5:50,Rafi Hossain,655.3,85966.85,44,3.91
ST00099,Literary World Store - Shariatpur,chittagong,Chattogram,Flagship,6/20/2020 0:58,Nusrat Bhuiyan,3374.43,38494.8,32,3.5
ST00100,Rokomari Branch - Comilla,Faridpur,Dhaka,Mini,6/12/2024 13:33,Tasnima Rahman,4552.62,209430.19,39,4.61
ST00101,Novel Nest Outlet - Noakhali, DHAKA ,Dhaka,Online Hub,3/10/2018 1:28,Sakib Bhuiyan,590.63,128593.64,15,2.98
ST00102,Readers Point Branch - Tangail, DHAKA ,Dhaka,Standard,5/19/2018 11:00,Sadia Islam,2268.53,173031.46,30,3.75
ST00103,Novel Nest Outlet - Rangamati, DHAKA ,Dhaka,Flagship,9/19/2017 0:57,Nabil Talukder,5316.56,217218.6,43,4.5
ST00104,Book Valley Outlet - Chittagong,Khagrachari,Chattogram,Standard,7/27/2019 10:15,Rahim Chowdhury,1662.69,19164.76,32,3.49
ST00105,Readers Point Branch - Khagrachari,Gopalganj,Dhaka,Standard,10/22/2017 11:12,Tanvir Jahan,4448.1,216955.54,15,3.33
ST00106,Pages Cafe Center - Comilla,Narayanganj,Dhaka,Mall Outlet,8/30/2022 2:52,Nabil Nahar,3828.53,191671.89,57,3.38
ST00107,Rokomari Center - Narayanganj,chittagong,Chattogram,Mini,8/19/2023 0:40,Ayesha Patwary,1316.65,237503.11,5,4.37
ST00108,Literary World Outlet - Cox's Bazar,Gopalganj,Dhaka,Mini,8/29/2018 10:07,Sakib Karim,4553.56,69893.84,54,3.43
ST00109,BookHub Branch - Narsingdi,Tangail,Dhaka,Standard,9/19/2021 22:18,Nafis Roy,3379.65,90769.25,44,3.69
ST00110,Rokomari Branch - Chandpur, DHAKA ,Dhaka,Mini,9/24/2019 0:58,Rumana Jahan,1027.34,170447.5,8,
ST00111,Story House Center - Munshiganj,Manikganj,Dhaka,Mini,9/21/2017 19:25,Rumana Ahmed,5716.48,232561.35,16,4.87
ST00112,Story House Outlet - Kishoreganj, DHAKA ,Dhaka,Flagship,3/15/2021 6:36,Ayesha Sheikh,3154.99,248277.3,23,4.55
ST00113,Story House Center - Narayanganj, DHAKA ,Dhaka,Standard,4/11/2023 6:10,Rumana Bhuiyan,4572.45,112933.35,57,3.21
ST00114,Book Valley Center - Madaripur, DHAKA ,Dhaka,Flagship,1/20/2019 13:36,Tanjim Das,1619.12,141718.97,31,4.74
ST00115,Rokomari Center - Faridpur,Brahmanbaria,Chattogram,Standard,2/3/2024 16:52,Jannat Das,1168.23,,16,4.66
ST00116,Book Valley Outlet - Madaripur,Bandarban,Chattogram,Online Hub,12/6/2025 1:42,Raisa Amin,4551.32,178084.21,55,4.44
ST00117,Literary World Outlet - Narsingdi,Chandpur,Chattogram,Mini,7/4/2017 23:39,Jannat Patwary,4173.42,211782.05,8,3.94
ST00118,BookHub Center - Lakshmipur, DHAKA ,Dhaka,Standard,6/22/2018 2:00,Ayesha Patwary,1935,202682.59,49,2.95
ST00119,Literary World Branch - Khagrachari,Rangamati,Chattogram,Mall Outlet,8/9/2019 23:52,Tamim Talukder,4579.19,96273.12,50,4.37
ST00120,Rokomari Outlet - Dhaka, DHAKA ,Dhaka,Flagship,8/24/2024 21:26,Jannat Miah,3227.96,241367.04,24,3.94
ST00121,Story House Branch - Bandarban,COX'S BAZAR,Chattogram,Flagship,4/12/2018 23:20,Nayeem Sheikh,2352.14,43281.45,4,3.48
ST00122,BookHub Branch - Brahmanbaria,Chandpur,Chattogram,Mall Outlet,3/25/2021 17:57,Rahim Bhuiyan,4806.59,131082.95,53,2.82
ST00123,Story House Branch - Gopalganj,Rajbari,Dhaka,Mall Outlet,11/1/2021 20:33,Mahin Talukder,3853.98,145330.33,,3.31
ST00124,Pages Cafe Store - Faridpur,Madaripur,Dhaka,Mini,3/1/2018 7:12,Nabil Uddin,3240.7,141080.76,23,4.13
ST00125,BookHub Outlet - Munshiganj,Chandpur,Chattogram,Standard,5/19/2017 0:18,Farhan Bhuiyan,4729.4,193104.33,,3.05
ST00126,Rokomari Center - Brahmanbaria,Chandpur,Chattogram,Mall Outlet,1/25/2018 8:17,Tasnima Nahar,3451.04,158257.7,17,4.24
ST00127,BookHub Center - Faridpur, DHAKA ,Dhaka,Mini,7/4/2017 16:41,Arif Uddin,5655.79,33125.42,9,4.6
ST00128,Book Valley Outlet - Madaripur, Cumilla ,Chattogram,Mini,7/2/2021 23:20,Rumana Mollik,4981.11,57265.14,37,3.5
ST00129,BookHub Store - Tangail, DHAKA ,Dhaka,Standard,6/5/2025 13:41,Sakib Mollik,2405.85,140076.17,32,2.98
ST00130,Book Valley Branch - Faridpur,Munshiganj,Dhaka,Standard,3/7/2020 16:00,Tamim Das,3003.55,178218.69,22,3.11
ST00131,Rokomari Outlet - Munshiganj,Tangail,Dhaka,Online Hub,4/24/2019 13:48,Rumana Hossain,5761.07,135831.02,39,3.59
ST00132,Story House Store - Munshiganj,COX'S BAZAR,Chattogram,Online Hub,2/10/2019 21:40,Tamim Uddin,5413.14,98544.33,38,4.59
ST00133,Readers Point Outlet - Chittagong,Manikganj,Dhaka,Standard,10/30/2025 17:10,Nafis Bhuiyan,1470.64,27016.62,2,4.2
ST00134,Book Valley Center - Faridpur, DHAKA ,Dhaka,Standard,8/18/2025 1:46,Farhan Talukder,1936.1,199682.01,25,4.71
ST00135,Pages Cafe Store - Narayanganj,Munshiganj,Dhaka,Mini,11/2/2022 0:40,Hasan Mollik,2440.75,131840.65,52,4.99
ST00136,BookHub Branch - Dhaka, DHAKA ,Dhaka,Standard,3/3/2021 15:58,Rumana Islam,5327.15,141615.45,48,3.25
ST00137,Story House Branch - Brahmanbaria,Narayanganj,Dhaka,Standard,6/10/2018 3:27,Farhan Rahman,5593.54,125205.16,51,4.33
ST00138,Readers Point Branch - Lakshmipur,Manikganj,Dhaka,Flagship,5/11/2025 1:44,Sadia Mollik,4893.11,77356.17,57,3.83
ST00139,Book Valley Store - Noakhali,chittagong,Chattogram,Flagship,1/5/2017 10:55,Arif Sheikh,1943.97,79947.76,5,3.89
ST00140,Novel Nest Center - Tangail, DHAKA ,Dhaka,Mini,6/23/2018 21:40,Jannat Das,5367.56,29922.69,17,3.52
ST00141,Book Valley Outlet - Kishoreganj, DHAKA ,Dhaka,Flagship,2/9/2023 0:17,Rumana Hossain,584.13,181285.77,28,3.55
ST00142,Readers Point Outlet - Faridpur,Manikganj,Dhaka,Flagship,8/26/2018 20:52,Karim Das,2767.7,78890.13,31,4.29
ST00143,Story House Store - Rajbari, DHAKA ,Dhaka,Mall Outlet,12/22/2017 15:04,Raisa Roy,2514.72,85161.92,47,4.17
ST00144,Readers Point Store - Rajbari, DHAKA ,Dhaka,Mini,5/13/2022 13:07,Sakib Talukder,3397.34,248472.53,44,3.5
ST00145,Book Valley Center - Manikganj,Gazipur,Dhaka,Flagship,3/28/2017 5:11,Sifat Rahman,3539.59,105665.95,42,3.06
ST00146,Story House Branch - Madaripur,Munshiganj,Dhaka,Standard,6/6/2019 19:28,Imran Sarker,1662.27,135013.84,11,4.07
ST00147,Book Valley Center - Noakhali, DHAKA ,Dhaka,Mini,10/14/2022 0:33,Rafi Jahan,1545.51,105821.18,41,4.43
ST00148,Book Valley Branch - Khagrachari,Narsingdi,Dhaka,Standard,8/31/2018 16:56,Jannat Bhuiyan,4899.97,83194.91,48,4.03
ST00149,Readers Point Branch - Bandarban,Feni,Chattogram,Standard,11/1/2023 3:32,Rahim Jahan,826.7,16374.92,45,2.81
ST00150,BookHub Outlet - Shariatpur,Narayanganj,Dhaka,Standard,11/8/2017 3:16,Nusrat Miah,3162.4,215898.29,35,3.42
ST00151,Rokomari Store - Tangail, DHAKA ,Dhaka,Standard,7/9/2022 4:43,Nafis Sarker,1473.22,126191.11,7,4.51
ST00152,Novel Nest Outlet - Brahmanbaria, DHAKA ,Dhaka,Mini,9/8/2017 15:00,Tamim Miah,2189.58,184174.22,10,4.43
ST00153,Story House Branch - Lakshmipur, DHAKA ,Dhaka,Flagship,8/2/2023 15:51,Tasnima Karim,1952.85,240284.32,45,
ST00154,BookHub Store - Chandpur,Narsingdi,Dhaka,Standard,10/11/2023 21:52,Tasnima Miah,4367.72,15665.36,52,3.83
ST00155,Literary World Branch - Bandarban,Bandarban,Chattogram,Flagship,2/25/2024 18:56,Tanjim Bhuiyan,2953.72,173634.31,49,3.76
ST00156,Literary World Store - Khagrachari, DHAKA ,Dhaka,Flagship,7/17/2019 4:30,Shuvo Talukder,2076.87,42880.57,26,4.24
ST00157,Readers Point Outlet - Narsingdi, DHAKA ,Dhaka,Flagship,2/16/2019 11:44,Sami Mollik,5055.57,122621.79,36,3.07
ST00158,Readers Point Branch - Dhaka,Faridpur,Dhaka,Online Hub,10/21/2025 2:02,Sami Miah,880.45,213993.79,12,
ST00159,Story House Outlet - Narsingdi,Faridpur,Dhaka,Flagship,7/26/2023 2:21,Muntasir Das,4691.62,31801.52,36,4.88
ST00160,Book Valley Center - Narayanganj,Noakhali,Chattogram,Standard,8/25/2018 17:39,Mim Patwary,1790.55,247559.17,13,3.62
ST00161,Story House Branch - Shariatpur, DHAKA ,Dhaka,Flagship,4/6/2017 21:35,Tanjim Hossain,5540.91,151496.42,48,3.54
ST00162,Rokomari Center - Gazipur, DHAKA ,Dhaka,Mini,3/10/2020 17:04,Tanjim Uddin,431.13,107823.46,47,2.86
ST00163,Novel Nest Center - Madaripur,Gazipur,Dhaka,Standard,12/26/2022 14:52,Sakib Miah,3517.31,19584.91,4,2.93
ST00164,Literary World Outlet - Tangail, DHAKA ,Dhaka,Mall Outlet,5/16/2020 22:47,Muntasir Karim,3884.68,152903.42,56,4.85
ST00165,BookHub Center - Gazipur, DHAKA ,Dhaka,Mini,4/8/2024 6:27,Farhan Nahar,3632.88,131299.26,48,4.95
ST00166,BookHub Center - Tangail,Kishoreganj,Dhaka,Standard,7/2/2021 12:02,Farhan Ahmed,4964.09,65599.5,23,2.81
ST00167,Pages Cafe Branch - Rajbari,Faridpur,Dhaka,Mini,12/2/2025 9:23,Muntasir Patwary,1028.12,130255.17,28,4.78
ST00168,Novel Nest Center - Faridpur, DHAKA ,Dhaka,Flagship,10/31/2024 21:49,Farhan Nahar,2727.11,18005.48,6,3.18
ST00169,Novel Nest Outlet - Bandarban,Rajbari,Dhaka,Mall Outlet,3/29/2021 11:41,Sami Uddin,5236.93,249877.24,56,4.03
ST00170,Rokomari Outlet - Cox's Bazar,Munshiganj,Dhaka,Mall Outlet,7/6/2024 1:19,Mim Chowdhury,5376.92,93046.89,7,4.29
ST00171,Pages Cafe Branch - Gazipur, DHAKA ,Dhaka,Standard,1/12/2021 15:24,Muntasir Khan,3190.73,127852.2,55,
ST00172,Novel Nest Store - Faridpur,Feni,Chattogram,Mini,2/2/2017 17:11,Rafi Bhuiyan,3524.61,199422.87,39,3.96
ST00173,Novel Nest Store - Narayanganj, DHAKA ,Dhaka,Standard,10/10/2019 4:21,Tasnima Das,4677.89,182502.91,55,4.18
ST00174,Book Valley Outlet - Madaripur,Noakhali,Chattogram,Standard,9/6/2020 19:29,Raisa Mollik,4765.82,223811.37,23,3.23
ST00175,Book Valley Branch - Narayanganj,Lakshmipur,Chattogram,Mini,10/14/2025 14:34,Tamim Rahman,5373.26,236211.55,53,4.99
ST00176,Pages Cafe Branch - Feni,Madaripur,Dhaka,Mall Outlet,6/13/2024 14:24,Rafi Bhuiyan,5125.6,59456.79,26,3.25
ST00177,Book Valley Store - Tangail, DHAKA ,Dhaka,Standard,4/27/2018 18:30,Rafi Chowdhury,2720.77,106743.96,22,2.82
ST00178,BookHub Outlet - Narayanganj,COX'S BAZAR,Chattogram,Mini,1/1/2017 15:35,Mim Bhuiyan,4038.62,176401.99,21,4.88
ST00179,Novel Nest Branch - Chittagong,Gazipur,Dhaka,Mini,10/4/2021 14:18,Muntasir Ahmed,3106.12,25580.7,57,3.74
ST00180,Rokomari Store - Chandpur, DHAKA ,Dhaka,Standard,10/20/2021 12:57,Rumana Miah,1060.58,183482.05,29,3.68
ST00181,Readers Point Outlet - Narayanganj,Narsingdi,Dhaka,Mini,8/14/2023 11:12,Raisa Hossain,5001.41,16147.61,29,3.41
ST00182,BookHub Center - Khagrachari,Munshiganj,Dhaka,Mini,5/3/2019 15:17,Tanjim Bhuiyan,3769.88,229810.79,39,2.86
ST00183,BookHub Center - Bandarban,Feni,Chattogram,Mini,4/22/2024 20:22,Nusrat Sarker,724.83,183769.82,34,3.38
ST00184,Story House Store - Dhaka,Chandpur,Chattogram,Mall Outlet,9/18/2020 8:34,Adib Amin,4190.46,147892.31,33,3.67
ST00185,Rokomari Store - Gopalganj,Feni,Chattogram,Flagship,1/5/2020 9:58,Nayeem Khan,1985.37,115791.73,23,3.94
ST00186,Literary World Store - Tangail,Chandpur,Chattogram,Standard,10/13/2020 2:54,Rahim Uddin,787.89,247185.82,11,3.81
ST00187,Rokomari Branch - Chittagong,Tangail,Dhaka,Flagship,7/1/2025 14:41,Tamim Uddin,3796.9,188080.26,59,4.73
ST00188,Novel Nest Outlet - Bandarban,Munshiganj,Dhaka,Flagship,7/11/2020 7:19,Imran Ahmed,4500.37,204713.85,30,4.8
ST00189,Novel Nest Store - Tangail,Rangamati,Chattogram,Standard,1/17/2022 1:26,Sakib Ahmed,3296.79,208965.47,58,3.5
